cohort,ticker,cik,finra_symbols_observed,first_observed_settlement_date,last_observed_settlement_date,observed_settlement_dates,expected_settlement_dates,symbol_date_coverage,time_valid_cik_linked_dates,time_valid_cik_link_coverage,link_sources,link_status
ORIGINAL_RESEARCH_51,AAPL,0000320193,AAPL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,ABBV,0001551152,ABBV,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,AMT,0001053507,AMT,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,AMZN,0001018724,AMZN,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,APD,0000002969,APD,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,AVGO,0001649338,AVGO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,PRICE_UNIVERSE_CIK_PERIODS,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,BA,0000012927,BA,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,BAC,0000070858,BAC,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,CAT,0000018230,CAT,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,COP,0001163165,COP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,COST,0000909832,COST,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,CRM,0001108524,CRM,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,CVX,0000093410,CVX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,DIS,0001001039,DIS,2021-06-15,2026-06-30,122,122,1.0,0,0.0,PRICE_UNIVERSE_CIK_PERIODS,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,DUK,0001326160,DUK,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,EOG,0000821189,EOG,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,FCX,0000831259,FCX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,GE,0000040545,GE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,GOOGL,0001652044,GOOGL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,GS,0000886982,GS,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,HD,0000354950,HD,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,HON,0000773840,HON,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,JNJ,0000200406,JNJ,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,JPM,0000019617,JPM,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,KO,0000021344,KO,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,LIN,0001707925,LIN,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,LLY,0000059478,LLY,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,MA,0001141391,MA,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,MCD,0000063908,MCD,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,META,0001326801,META,2021-07-15,2026-06-30,111,122,0.9098360655737705,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,MRK,0000310158,MRK,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,MSFT,0000789019,MSFT,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,NEE,0000753308,NEE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,NEM,0001164727,NEM,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,NFLX,0001065280,NFLX,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,NKE,0000320187,NKE,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,NVDA,0001045810,NVDA,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,ORCL,0001341439,ORCL,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
ORIGINAL_RESEARCH_51,PEP,0000077476,PEP,2021-06-15,2026-06-30,122,122,1.0,0,0.0,,CURRENT_SYMBOL_OBSERVED_PIT_CIK_UNVERIFIED
